number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_weight_decay,state
0,43.25698585510254,2026-02-23 08:26:51.819671,2026-02-23 08:27:43.759137,0 days 00:00:51.939466,64,0.46775627552033655,0.000702123903027268,6.119901614624337e-05,COMPLETE
1,43.99884185791016,2026-02-23 08:27:43.847978,2026-02-23 08:28:43.924458,0 days 00:01:00.076480,32,0.4166894976532666,9.036688529247206e-05,0.0003060969291634048,COMPLETE
2,43.23113250732422,2026-02-23 08:28:43.988859,2026-02-23 08:29:33.028332,0 days 00:00:49.039473,16,0.4988418304693418,0.0005741423717932128,5.1897104432664346e-06,COMPLETE
3,42.29996871948242,2026-02-23 08:29:33.090874,2026-02-23 08:30:16.322399,0 days 00:00:43.231525,32,0.21864298123010595,0.00017192220531165824,5.3022397326939796e-06,COMPLETE
4,43.12786865234375,2026-02-23 08:30:16.386952,2026-02-23 08:31:14.831036,0 days 00:00:58.444084,16,0.3284459662452433,0.00010686310300555253,2.355634446838183e-06,COMPLETE
5,41.98871994018555,2026-02-23 08:31:14.894620,2026-02-23 08:31:48.227186,0 days 00:00:33.332566,32,0.2715867917337833,0.000548681591711862,2.4574634339413054e-05,COMPLETE
6,42.841010665893556,2026-02-23 08:31:48.294007,2026-02-23 08:32:48.951679,0 days 00:01:00.657672,16,0.23069547595795228,7.400804945338559e-05,0.0004785658550230674,COMPLETE
7,42.88596458435059,2026-02-23 08:32:49.011310,2026-02-23 08:33:35.136737,0 days 00:00:46.125427,32,0.3359139384404876,0.0001855012162112301,3.213399339740317e-06,COMPLETE
8,44.57544860839844,2026-02-23 08:33:35.206037,2026-02-23 08:34:45.628104,0 days 00:01:10.422067,16,0.40137295454710087,5.311168753292709e-05,4.506403949365542e-05,COMPLETE
9,50.0505786895752,2026-02-23 08:34:45.690692,2026-02-23 08:35:35.399461,0 days 00:00:49.708769,16,0.49453471480934835,1.3532919443473258e-05,5.704494805339649e-06,COMPLETE
10,41.93986549377441,2026-02-23 08:35:35.460105,2026-02-23 08:36:25.970448,0 days 00:00:50.510343,64,0.2687445826027469,0.0003543748062921378,1.8674817809853523e-05,COMPLETE
11,41.75238227844238,2026-02-23 08:36:26.059730,2026-02-23 08:37:29.385864,0 days 00:01:03.326134,64,0.2860325365594795,0.0004122542509845062,1.8385624005035402e-05,COMPLETE
12,41.986515808105466,2026-02-23 08:37:29.479161,2026-02-23 08:38:38.515947,0 days 00:01:09.036786,64,0.2820448045258048,0.00028855733102689323,1.7752545217743805e-05,COMPLETE
13,41.93640022277832,2026-02-23 08:38:38.609239,2026-02-23 08:39:33.968057,0 days 00:00:55.358818,64,0.2751884622463766,0.0004341645339151058,0.00010659194912000024,COMPLETE
14,41.440155029296875,2026-02-23 08:39:34.051809,2026-02-23 08:40:17.989179,0 days 00:00:43.937370,64,0.3032717778154737,0.0009421405969075347,0.00015146313546594785,COMPLETE
15,42.013258361816405,2026-02-23 08:40:18.080506,2026-02-23 08:41:08.422459,0 days 00:00:50.341953,64,0.38388330610471816,0.0009898312875790032,0.0001680983452779554,COMPLETE
16,49.22851676940918,2026-02-23 08:41:08.495819,2026-02-23 08:42:23.059685,0 days 00:01:14.563866,64,0.31587089656501405,2.2946258373138958e-05,1.033159140538072e-06,COMPLETE
17,41.94517555236816,2026-02-23 08:42:23.158712,2026-02-23 08:43:07.062549,0 days 00:00:43.903837,64,0.36020509404803436,0.0008808017551492171,0.0006218017496382446,COMPLETE
18,41.69538688659668,2026-02-23 08:43:07.174182,2026-02-23 08:44:17.282928,0 days 00:01:10.108746,64,0.20057479198642375,0.00023148556595512619,0.0001665085012293436,COMPLETE
19,42.01422958374023,2026-02-23 08:44:17.386237,2026-02-23 08:45:23.831628,0 days 00:01:06.445391,64,0.2395594629698972,0.0002192486026507939,0.000913871733806932,COMPLETE
