SMILES,MP,Type,exp MP,GNN1,GNN2,GNN3,GNN4,GNN5,GNN6,GNN7,GNN8,GNN9,GNN10,Consensus,SD,Mpexp,embeddings
Coc1cc(C=C[N+](=O)[O-])c(cc1OC)[N+](=O)[O-],169.0,train_with_data_augmentation,,,,,,,,,,,,,,,
Coc1cc(C=C[N+](=O)[O-])c([N+](=O)[O-])cc1OC,169.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[c]1=[c]\c2ccc(cc2)-c2ccccc2-c2ccc/1cc2,230.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[c]1=[c]\[c]2[cH][cH][c]([cH][cH]2)-[c]2[cH][cH][cH][cH][c]2-[c]2[cH][cH][c]/1[cH][cH]2,230.0,train_with_data_augmentation,,,,,,,,,,,,,,,
Coc1cc(ccc1O)C=C[N+](=O)[O-],169.0,train_with_data_augmentation,,,,,,,,,,,,,,,
Coc1cc(C=C[N+](=O)[O-])ccc1O,169.0,train_with_data_augmentation,,,,,,,,,,,,,,,
Coc1ccc(cc1OCc1ccccc1)C=C[N+](=O)[O-],120.0,train_with_data_augmentation,,,,,,,,,,,,,,,
Coc1ccc(C=C[N+](=O)[O-])cc1OCc1ccccc1,120.0,train_with_data_augmentation,,,,,,,,,,,,,,,
CNC(=C/N+](=O)[O-])NCCSCc1ccc(o1)CN(C)C,69.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]C([2H])([2H])=C(O)[CH]([2H])([2H])[2H],-93.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]C([2H])([2H])C(=O)[CH]([2H])([2H])[2H],-93.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]C([2H])([2H])C(O)=C([2H])([2H])[2H],-93.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H][CH]([2H])([2H])C(=O)[CH]([2H])([2H])[2H],-93.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])=C(O)O,67.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])[CH]([2H])([2H])C(=O)O,67.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]O=C(O)C([2H])([2H])[2H],15.5,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]O=C(O)[CH]([2H])([2H])[2H],15.5,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]OC(=O)[CH]([2H])([2H])[2H],15.5,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]OC(O)=C([2H])([2H])[2H],15.5,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H][OH]C(=O)C([2H])([2H])[2H],15.5,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H][OH]C(=O)[CH]([2H])([2H])[2H],15.5,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H][OH]C(O)=C([2H])([2H])[2H],15.5,train_with_data_augmentation,,,,,,,,,,,,,,,
Coc1cccc(C=C[N+](=O)[O-])c1OC,81.0,train_with_data_augmentation,,,,,,,,,,,,,,,
Coc1cc(ccc1OCc1ccccc1)C=C[N+](=O)[O-],123.0,train_with_data_augmentation,,,,,,,,,,,,,,,
Coc1cc(C=C[N+](=O)[O-])ccc1OCc1ccccc1,123.0,train_with_data_augmentation,,,,,,,,,,,,,,,
Coc1ccc(Br)cc1C=C[N+](=O)[O-],121.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]N=C(O[2H])[NH]([2H])[2H],136.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]N=C([OH][2H])N([2H])[2H],136.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]N=C([OH][2H])[NH]([2H])[2H],136.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]NC(=O[2H])N([2H])[2H],136.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]NC(=O[2H])[NH]([2H])[2H],136.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]NC(O[2H])=N([2H])[2H],136.0,train_with_data_augmentation,,,,,,,,,,,,,,,
[2H]NC([OH][2H])=N([2H])[2H],136.0,train_with_data_augmentation,,,,,,,,,,,,,,,
