Fold,Best_Val_BCE,Val_Accuracy,Stop_Epoch,Model_Path
0,0.09307583121907166,0.9648326715825298,53,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_best_models/binary_best_fold_0.pt
1,0.09985134078721915,0.9636982416335791,49,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_best_models/binary_best_fold_1.pt
2,0.09765468796415787,0.9614293817356778,50,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_best_models/binary_best_fold_2.pt
3,0.09551672249965902,0.9653998865570051,59,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_best_models/binary_best_fold_3.pt
4,0.11654131986766256,0.9591605218377766,40,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_best_models/binary_best_fold_4.pt
5,0.10594950521980147,0.960272417707151,47,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_best_models/binary_best_fold_5.pt
6,0.11844528921556373,0.9500567536889898,57,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_best_models/binary_best_fold_6.pt
7,0.09976376922572529,0.9614074914869466,60,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_best_models/binary_best_fold_7.pt
8,0.10434887671310987,0.9619750283768445,45,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_best_models/binary_best_fold_8.pt
9,0.09538878265266248,0.9665153234960272,49,/Users/sdl5_mp/Documents/GitHub/SDL5_MP/transfer_learning/artifacts/binary_best_models/binary_best_fold_9.pt
